"Year"	"Prec"	"Etp"	"Temp"	"Qobs"
"01-01-1980"	2	3.2	31.1	0.157523466610173
"02-01-1980"	7.9	2.5	29.7	1.12092210349437
"03-01-1980"	46.5	3.4	31.1	1.50236023361182
"04-01-1980"	1.8	3.1	30.5	2.99353173824126
"05-01-1980"	26.4	3.4	31	6.73768822007339
"06-01-1980"	14.7	2.8	30.5	6.30708350350808
"07-01-1980"	42	4.5	32.5	2.23454999508688
"08-01-1980"	10	5.2	33.9	1.04702748268473
"09-01-1980"	33.1	5	33.1	8.69989201067095
"10-01-1980"	0	5.5	34.3	1.34598246379445
"11-01-1980"	0	5.5	34.7	0.753180726993532
"12-01-1980"	19.6	4	32.9	2.97161139952688
"13-01-1980"	9.3	4.2	33.8	2.46640722659216
"14-01-1980"	3.4	4.5	34.5	2.81494698905151
"15-01-1980"	5.3	4.8	34.2	2.32834909924273
"16-01-1980"	5	5	34.5	1.45641456156376
"17-01-1980"	6	2.8	31.3	4.55428409295896
"18-01-1980"	38.6	1.8	29.3	2.64933410955133
"19-01-1980"	7.8	4.2	31.4	1.6126267229886
"20-01-1980"	8.5	4.8	33.7	1.07734099071156
"21-01-1980"	16.7	4.8	33.4	5.03146068978667
"22-01-1980"	44.2	3.6	31.9	17.2767379076603
"23-01-1980"	17.2	3.7	31.2	10.2704981327932
"24-01-1980"	0.1	3.6	31	2.55719175966891
"25-01-1980"	2.5	3.9	30.9	1.594769353243
"26-01-1980"	30.5	3.1	29.9	1.83302785836489
"27-01-1980"	37.5	2.9	30.3	3.7467217159415
"28-01-1980"	4.7	3.2	30.2	2.72355441048951
"29-01-1980"	1.4	3.1	30.8	3.50242240754515
"30-01-1980"	1.5	2.9	29.1	10.1244111023487
"31-01-1980"	27.1	2.6	29.9	4.90275081651834
"01-02-1980"	11.2	3	30.3	3.71777564831248
"02-02-1980"	9.3	2	29.9	3.3567205970626
"03-02-1980"	73.4	2.6	30	12.3038897294138
"04-02-1980"	41.2	1.6	25.9	62.0974309138831
"05-02-1980"	122	3.2	29.3	21.8218960607326
"06-02-1980"	4.8	2.9	30	6.76484339384239
"07-02-1980"	12.9	2.9	29.8	6.70810493215047
"08-02-1980"	21	2.8	31.8	4.16557338302181
"09-02-1980"	12.6	3.3	31.2	3.10564154800912
"10-02-1980"	12.4	2.3	28.4	6.3842749905622
"11-02-1980"	15.1	2.5	30.8	14.1918576373583
"12-02-1980"	9	2.1	29.4	12.8737502393854
"13-02-1980"	11	3.3	30.4	16.5676245730517
"14-02-1980"	18.2	2.2	28.8	14.8979332372595
"15-02-1980"	48.5	2.4	30.1	28.903611004955
"16-02-1980"	33.7	3.4	30.5	20.3685822991248
"17-02-1980"	3.9	3	30.6	12.3117194396406
"18-02-1980"	39.3	4	31.4	9.45643374277496
"19-02-1980"	15.7	3	30.1	39.9957435425794
"20-02-1980"	7.1	3.4	32.5	14.8216002147617
"21-02-1980"	4.2	4.8	32.5	18.1476400246215
"22-02-1980"	50.7	3.7	31.9	25.0007963022028
"23-02-1980"	22.3	3.3	31.8	9.37631841401131
"24-02-1980"	29.8	3.7	31.3	13.265650686944
"25-02-1980"	10.9	2.2	30.7	11.5192424430633
"26-02-1980"	2.4	5.1	33	5.02726171870813
"27-02-1980"	0	5.3	34	3.62706202906417
"28-02-1980"	13.5	5.1	34.2	9.81144965087058
"29-02-1980"	22.2	5.3	34	18.305877009785
"01-03-1980"	0	5.3	34.1	3.99906896574463
"02-03-1980"	2.5	4.2	32.2	3.2762603195819
"03-03-1980"	0.3	4.8	33.7	2.54128874952766
"04-03-1980"	3.1	4.1	33	9.74640099877009
"05-03-1980"	0.8	4.7	34.3	4.87276606808474
"06-03-1980"	32.1	4.9	34.1	8.44033068788313
"07-03-1980"	1	5	33.6	2.9251604071942
"08-03-1980"	26	4.4	32.6	4.56137430860743
"09-03-1980"	5.1	3.6	30.5	3.10510301686901
"10-03-1980"	7.2	4.7	33.2	4.61872810710042
"11-03-1980"	20.1	4.5	32.3	12.528339934558
"12-03-1980"	18.5	3.5	32.1	4.0402353242302
"13-03-1980"	3	5.1	34.9	2.6748080933443
"14-03-1980"	5.4	4.2	33.1	2.09529668040845
"15-03-1980"	1.8	2.8	30.2	1.85798681342535
"16-03-1980"	0.4	2.7	30.3	1.69644911169588
"17-03-1980"	0.4	2.7	27	1.58879006431544
"18-03-1980"	0.7	3.5	30.6	1.54767334261761
"19-03-1980"	39.5	2.1	28.6	9.43782385750352
"20-03-1980"	28.3	1.8	27.1	8.42734295638235
"21-03-1980"	11.4	2.9	29.4	6.04722583518595
"22-03-1980"	9.2	4	31.1	7.57078105979648
"23-03-1980"	20.6	4.6	32.2	5.75726365746892
"24-03-1980"	4.7	5	33.1	3.24558704684442
"25-03-1980"	0.2	4.2	31.5	2.34462067454061
"26-03-1980"	16.1	5.1	32.5	2.078984759404
"27-03-1980"	7.1	5	33.2	2.75985131152512
"28-03-1980"	1.3	4.1	32.4	1.74294986257787
"29-03-1980"	0.1	4	32	1.44857680380679
"30-03-1980"	0.8	4.7	33.1	1.26891856547411
"31-03-1980"	1.3	4.2	32.2	1.10137727076852
"01-04-1980"	0.3	4.6	33.1	1.00982700592908
"02-04-1980"	0	4.4	31.9	0.96007272397091
"03-04-1980"	0	3.4	28.1	0.922616832863196
"04-04-1980"	7.8	3.2	29.8	0.881959314718086
"05-04-1980"	0	4.7	31.7	0.824125316966611
"06-04-1980"	0	4.9	32.7	0.7524441738222
"07-04-1980"	0	5.2	33.2	0.705299564959348
"08-04-1980"	0	5.3	33.1	0.641203902702774
"09-04-1980"	0	5.1	32.6	0.589123777525873
"10-04-1980"	0	5.1	32.6	0.564868090575388
"11-04-1980"	0	5	33.3	0.529551714934025
"12-04-1980"	0	5.1	33.6	0.508919441184501
"13-04-1980"	0	4.7	33.8	0.476425529703748
"14-04-1980"	0.6	4.1	32.9	0.450762406639974
"15-04-1980"	1.7	4.3	32.9	0.577070114901853
"16-04-1980"	0.4	4.3	32.8	0.603940738263267
"17-04-1980"	2.2	4.3	32.8	0.523630874038853
"18-04-1980"	0	4.4	31.1	0.458044969359944
"19-04-1980"	0	4.5	32.9	0.411251270533661
"20-04-1980"	0.2	4.6	33.4	0.397694787757941
"21-04-1980"	0.2	4.7	32.9	0.383801548479812
"22-04-1980"	0	4.5	33.1	0.356643031324182
"23-04-1980"	0.2	4.3	33.5	2.45622427393156
"24-04-1980"	39.8	2.9	32.1	6.03664515454134
"25-04-1980"	0.9	3.9	31.5	2.09189587355892
"26-04-1980"	0	5.3	31	1.17432230824492
"27-04-1980"	0.1	5.1	30.9	0.905589317848154
"28-04-1980"	0	5.3	32.1	0.739098638356362
"29-04-1980"	0	4.3	31.8	0.688712599030549
"30-04-1980"	13.5	4.2	31.6	0.643394175670938
"01-05-1980"	0	4.4	31.6	0.59073365488418
"02-05-1980"	0	4.7	31.7	0.537890261449714
"03-05-1980"	0	4.6	32.3	0.492704588479458
"04-05-1980"	0	4.1	32.1	0.456312110417194
"05-05-1980"	0	4.4	32.9	0.424400391820476
"06-05-1980"	0	4.5	32.7	0.404216801372229
"07-05-1980"	0	4.6	32.6	0.377095294895003
"08-05-1980"	0	4.6	32.7	0.350854723905964
"09-05-1980"	0	4.7	32.8	0.336039878064479
"10-05-1980"	0	4.4	31.9	0.324140877172194
"11-05-1980"	0	4.2	32.3	0.308074175636971
"12-05-1980"	0	4.2	31.7	0.29535855378337
"13-05-1980"	0	4.6	32.1	0.286279902155785
"14-05-1980"	0	4.8	32.1	0.270642687174359
"15-05-1980"	0	4.8	32.3	0.251088034232543
"16-05-1980"	0	4.9	32.6	0.231149446341121
"17-05-1980"	0.1	4.7	33.2	0.218842921275631
"18-05-1980"	0	4.5	31.4	0.208491644591922
"19-05-1980"	0	4.4	31	0.198364872243152
"20-05-1980"	0	3.8	31.5	0.186945952722175
"21-05-1980"	5.3	2.9	26.9	0.22226037615193
"22-05-1980"	0	3.5	28.1	0.20475554539869
"23-05-1980"	0	4.2	29.2	0.192209874411199
"24-05-1980"	0	3.6	31.7	0.172311957594947
"25-05-1980"	0	4.3	31.9	0.160309109890728
"26-05-1980"	0	4.1	32.5	0.144494243652959
"27-05-1980"	2.3	4.3	33.9	0.149301890106674
"28-05-1980"	0	4.5	33.5	0.120256235063148
"29-05-1980"	0	4.4	33.3	0.108487652751908
"30-05-1980"	0	4.4	32.9	0.0912244081851797
"31-05-1980"	0	4.3	32.6	0.0826490475558007
"01-06-1980"	0	4	32.3	0.0757048139531463
"02-06-1980"	0	4.6	31.9	0.0677764487875743
"03-06-1980"	0	4.8	31.3	0.0609057484888275
"04-06-1980"	0	4.7	30.6	0.0587897680179743
"05-06-1980"	0	4.1	30.8	0.0582550789497372
"06-06-1980"	0	4.3	29.3	0.0545122554720774
"07-06-1980"	0	3.9	29.4	0.0538365733432503
"08-06-1980"	0	3.8	31.4	0.0525231687557551
"09-06-1980"	0	4.1	31.6	0.0542942585091652
"10-06-1980"	0	4	31.5	0.0544504354378187
"11-06-1980"	0	4	31.2	0.054717237690935
"12-06-1980"	0	4.5	31.1	0.0570826674228319
"13-06-1980"	0	4.4	31.1	0.0548213556433706
"14-06-1980"	0	4.3	29.1	0.0554419962504674
"15-06-1980"	0	4.5	31.2	0.0571249653410088
"16-06-1980"	0	3.8	31.2	0.0583385902240866
"17-06-1980"	0	4.1	31.4	0.0560333536834416
"18-06-1980"	0	4.2	31.2	0.0571108660349498
"19-06-1980"	0	4.3	30.7	0.0526055954680999
"20-06-1980"	0	4.6	27.7	0.0482830735990147
"21-06-1980"	0	4.4	27.5	0.0477803791099114
"22-06-1980"	0	3.9	27.7	0.0502727025963392
"23-06-1980"	0	3.9	28.8	0.057919949290335
"24-06-1980"	0	3.9	29.4	0.0612701613223522
"25-06-1980"	0	4	30.5	NA
"26-06-1980"	0	4.5	30.6	0.059428575038647
"27-06-1980"	0	4.2	32.1	0.0565799729337286
"28-06-1980"	0	3.8	32.3	0.0571922081852902
"29-06-1980"	0	3.5	30.8	0.0559926826082714
"30-06-1980"	0	4.2	30.2	0.059428575038647
"01-07-1980"	0	3.6	30.2	0.0530175121174234
"02-07-1980"	0	4.4	31	NA
"03-07-1980"	0	4.5	29.1	NA
"04-07-1980"	0	3.9	27.7	0.0570826674228319
"05-07-1980"	0	4	28.4	NA
"06-07-1980"	0	4	28.2	0.0586737198834888
"07-07-1980"	0	3.9	28.9	0.0594692461138172
"08-07-1980"	0	3.9	29.8	0.059428575038647
"09-07-1980"	0	4.2	29.8	0.0554273546634061
"10-07-1980"	0	4.4	28	NA
"11-07-1980"	0	4.5	27.2	0.0525470291198549
"12-07-1980"	0	4.3	30.2	0.0504418942690471
"13-07-1980"	0	3.5	30.6	0.0560333536834416
"14-07-1980"	0	3.8	30.5	NA
"15-07-1980"	0.5	4.4	31.3	0.0526381323282361
"16-07-1980"	0	4.4	30	0.0515335059266144
"17-07-1980"	0	4.5	29	0.0482830735990147
"18-07-1980"	0	4.9	30.1	0.0494657884649631
"19-07-1980"	0	4.5	30.7	NA
"20-07-1980"	0.3	4.3	30	NA
"21-07-1980"	0	4.4	30.4	NA
"22-07-1980"	0	4.9	30.9	NA
"23-07-1980"	0	4.6	31.1	NA
"24-07-1980"	0	4.8	30.5	0.0540589085541806
"25-07-1980"	0	5.1	29.4	0.0536776850095855
"26-07-1980"	0	5	28.1	0.0525470291198549
"27-07-1980"	0	5	30.2	0.0594556890887605
"28-07-1980"	0	4.6	30.4	0.0628612137830091
"29-07-1980"	0	4	29.8	0.0646865316366462
"30-07-1980"	0	4	29.8	0.0729948188724077
"31-07-1980"	0	5	28.1	0.0729948188724077
"01-08-1980"	0	5.1	29.3	0.0688138323449146
"02-08-1980"	0	5	28.8	0.0663936322317886
"03-08-1980"	0	5	29.3	0.0693165268340179
"04-08-1980"	0	4.6	28.9	0.0686625359452816
"05-08-1980"	0	4.6	30.4	0.0747583166917861
"06-08-1980"	0	4.6	30.7	0.0828063090464587
"07-08-1980"	0	4.6	30.3	0.0862714846509568
"08-08-1980"	0	5.2	31	0.0827477426982136
"09-08-1980"	0	5	30.8	0.0793498099379968
"10-08-1980"	0	4.9	30.3	0.0795314740737569
"11-08-1980"	0	4.7	30	0.0755284641712084
"12-08-1980"	0	4.4	30.1	0.0777858715274533
"13-08-1980"	0.1	4.7	30.2	0.0795314740737569
"14-08-1980"	0.1	4.9	30.7	0.0794908029985867
"15-08-1980"	0	5.1	31.7	0.0718600958751601
"16-08-1980"	0	5.4	32.1	0.0676961911992385
"17-08-1980"	0	5.6	32.1	0.0612701613223522
"18-08-1980"	0	5.4	32.5	0.0628612137830091
"19-08-1980"	0	4.9	32.6	0.0716315244327038
"20-08-1980"	0	5.1	32.7	0.0729769235993329
"21-08-1980"	0	4.8	32.8	0.0827759413103316
"22-08-1980"	0	5.3	32.8	0.0836945653281751
"23-08-1980"	0	5.1	32.4	0.0796317960591766
"24-08-1980"	0	4.9	32.2	0.0861820082855825
"25-08-1980"	0	4.5	32.6	0.0917881092870382
"26-08-1980"	0	4.5	30.9	0.0910641641490093
"27-08-1980"	0	4.9	31.9	0.0949111055791047
"28-08-1980"	0	5.9	32	0.0974652490997911
"29-08-1980"	0	6	32.3	0.0954826697554961
"30-08-1980"	0	5.2	32.1	0.106628984616632
"31-08-1980"	0	5.1	32.4	0.111123138422935
"01-09-1980"	0	5	32.6	0.119024714906995
"02-09-1980"	0	5.3	33.3	0.114827459949434
"03-09-1980"	0	5.3	32.7	0.1100152583353
"04-09-1980"	0	5.8	33.1	0.0972155829263465
"05-09-1980"	0	5.8	32.2	0.0954052320283721
"06-09-1980"	0	6	32.7	0.100669045261196
"07-09-1980"	0	6.2	31.7	0.0924339659607404
"08-09-1980"	0	5.6	31.2	0.0974381350496777
"09-09-1980"	0	5.7	32	0.109195004091268
"10-09-1980"	0	5.7	33.1	0.107439965855525
"11-09-1980"	0	5.5	34.3	0.103460707860876
"12-09-1980"	0	6.1	35.1	0.0935873976525664
"13-09-1980"	0	5.8	34.8	0.0993057508214917
"14-09-1980"	0	5.6	33.7	0.0964896855767094
"15-09-1980"	0	5.8	34	0.0919182567275827
"16-09-1980"	0	5.8	33.3	0.0884050892543838
"17-09-1980"	0	5.7	34.7	0.0845990900399596
"18-09-1980"	0.1	5.9	35.6	0.0878625371116137
"19-09-1980"	0	5.6	35.3	0.0780732804586558
"20-09-1980"	0	6.3	36.1	0.0592919202260753
"21-09-1980"	0	6.6	35.4	0.0479495707826193
"22-09-1980"	0	6.4	33.9	0.0489462832647895
"23-09-1980"	0	5.6	33.1	0.0504418942690471
"24-09-1980"	0.1	6.1	33.3	0.0615413018234866
"25-09-1980"	0	6.3	33.7	0.0619898766685634
"26-09-1980"	0	6.3	34.7	0.0604545706949398
"27-09-1980"	0	6.3	35.4	0.0571661786971813
"28-09-1980"	0	6.4	34.8	0.0619903104933653
"29-09-1980"	0	6	34.1	0.0649034440375537
"30-09-1980"	0	6.2	35.2	0.0655509275542628
"01-10-1980"	0	6.2	33.8	0.0596115948769128
"02-10-1980"	0	5.7	33.5	0.0511913266141827
"03-10-1980"	0	6	34.7	0.053783429805028
"04-10-1980"	0	6.1	35.1	0.0548506388174931
"05-10-1980"	0	6.2	34.7	0.0508909029389257
"06-10-1980"	0	6.3	34.4	0.047930862088041
"07-10-1980"	0	6.4	34.9	0.0457443850868929
"08-10-1980"	0	6.2	34.9	0.0382487059330312
"09-10-1980"	0	6.2	35.8	0.0413559760760319
"10-10-1980"	0	6	35.1	0.044409560399808
"11-10-1980"	0	5.9	35.6	0.0452547053418441
"12-10-1980"	0.7	6	35.7	0.045758755533453
"13-10-1980"	0.9	4.3	33.1	0.045385666203892
"14-10-1980"	1.7	5.6	35.2	0.0545423520677033
"15-10-1980"	0	6.6	37	0.0592062398277168
"16-10-1980"	0	6	36	0.0515335059266144
"17-10-1980"	1.4	5.8	35.5	0.0458989351725395
"18-10-1980"	0	5.6	35.6	0.0541131366544074
"19-10-1980"	15	5	34.7	0.0610131201272767
"20-10-1980"	0.5	5.2	35.8	0.0729411330531831
"21-10-1980"	0	5.5	36.3	0.0650119002380075
"22-10-1980"	0	5.4	35.8	0.0491577728556744
"23-10-1980"	0	6.1	37.2	0.031637215953369
"24-10-1980"	6.1	5.5	35.1	0.0344597885701785
"25-10-1980"	0	4.8	35.4	0.0303812931521143
"26-10-1980"	1.8	4.4	33.8	0.0399162200150081
"27-10-1980"	0	6	35.9	0.0659408275948941
"28-10-1980"	0	6.3	37.7	0.053640267620429
"29-10-1980"	0	6.5	37.6	0.0323806832074796
"30-10-1980"	0	6.8	38.3	0.017172954779851
"31-10-1980"	0	6.3	38.8	0.0159962050049276
"01-11-1980"	0	6.7	39	0.0106167774624202
"02-11-1980"	0	7.1	38.9	0.00863528268012972
"03-11-1980"	0	6.5	37.6	0.00718983266858201
"04-11-1980"	0	6.9	39	0.00768520636415463
"05-11-1980"	0	6.3	36.9	0.00780342362264925
"06-11-1980"	1	6.4	38.1	0.00764616213199127
"07-11-1980"	0	5.3	35.6	0.00880610119584442
"08-11-1980"	0.7	5.5	36.4	0.0620792445777374
"09-11-1980"	3.6	6	36	0.0447349290011694
